county_fips,total_population,land_area_sqmi,population_density
1001,59947,594.455,100.84362987946942
1003,246989,1589.863,155.35237941885558
1005,24643,885.008,27.84494603438613
1007,22130,622.47,35.55191414847302
1009,59518,644.891,92.29156555138776
1011,10058,622.815,16.149257805287284
1013,18630,776.839,23.98180317929455
1015,116090,605.89,191.60243608575814
1017,34192,596.554,57.315850702534895
1019,25443,553.524,45.96548659136731
1021,45992,692.837,66.38213605797613
1023,12380,913.479,13.552583036938998
1025,22543,1238.42,18.20303289675554
1027,14192,603.962,23.49816710322835
1029,15426,560.105,27.54126458431901
1031,54920,678.986,80.88532016860437
1033,58022,592.953,97.85261226437846
1035,11275,850.279,13.260353366365628
1037,10300,650.909,15.82402455642801
1039,37628,1030.571,36.51179782858241
1041,13122,608.865,21.55157547239536
1043,90566,734.739,123.26281849745283
1045,49599,561.113,88.39395986191728
1047,36858,978.738,37.65869926374576
1049,72269,777.077,93.00107968708377
1051,89526,618.516,144.74322410414607
1053,36629,945.408,38.74411894124018
1055,103105,535.105,192.68181011203407
1057,16053,627.684,25.574970845202365
1059,31966,633.959,50.42281914130094
1061,26887,574.485,46.80191823981479
1063,7424,647.023,11.474089792789437
1065,14829,643.99,23.02675507383655
1067,17647,561.892,31.40639126380158
1069,108140,579.826,186.50422713020802
1071,53053,1078.015,49.213600923920346
1073,667755,1111.54,600.7476114219911
1075,13693,604.846,22.638820460084055
1077,95830,668.018,143.4542182995069
1079,33276,690.684,48.17832757092969
1081,181134,607.545,298.1408784534479
1083,111233,563.404,197.43026318591987
1085,9833,716.085,13.731610074223031
1087,18691,608.665,30.70818923381499
1089,405718,801.602,506.1339667316199
1091,18851,976.898,19.296794547639568
1093,29184,742.342,39.313416188225915
1095,99748,565.845,176.28149051418674
1097,412590,1229.374,335.60983069432086
1099,19388,1025.669,18.902784426554764
1101,226718,785.355,288.68218830974524
1103,124471,579.669,214.7277152995934
1105,8031,719.67,11.159281337279587
1107,18721,881.408,21.239879828637815
1109,32987,672.067,49.082903936661076
1111,22510,580.55,38.773576780639054
1113,58811,641.182,91.72278697780037
1115,94166,631.57,149.0982788922843
1117,230211,785.441,293.09776291280946
1119,11878,903.826,13.141910057909376
1121,81021,736.817,109.9608179507259
1123,40938,716.528,57.13384543241855
1125,237552,1320.848,179.84809758579337
1127,64841,791.03,81.97034246488755
1129,15143,1080.255,14.017986493929673
1131,10172,887.858,11.456787008733379
1133,23682,612.998,38.63307873761415
2013,3491,6986.254,0.4996955449944992
2016,5235,4393.026,1.1916615107672934
2020,288976,1707.004,169.28841408690315
2050,18394,40638.578,0.4526241051052524
2060,918,481.952,1.9047540003983798
2063,6862,9530.193,0.7200273908408781
2066,2626,24692.42,0.10634842595419972
2068,1969,12641.049,0.1557623896561116
2070,4724,18333.994,0.2576634420192349
2090,95460,7334.752,13.01475496376701
2100,2086,2343.605,0.8900817330565518
2105,2311,6559.711,0.35230210599216943
2110,31794,2704.203,11.757253431047891
2122,60413,16017.53,3.771680152932443
2130,13768,4857.02,2.8346599355160156
2150,12771,6689.481,1.909116716229555
2158,8176,17077.09,0.47877009490492817
2164,1013,23831.86,0.04250612415480789
2170,112988,24707.306,4.573060292368581
2180,9866,22969.508,0.4295259611133159
2185,10810,88823.624,0.12170185715457861
2188,7441,35663.282,0.208645968141687
2195,3409,2900.828,1.1751817067402826
2198,5715,5267.817,1.0848896231588911
2220,8368,2870.063,2.9156154411941477
2230,1244,433.971,2.866550990734404
2240,7068,24832.27,0.2846296371616449
2275,2088,2556.131,0.8168595428012102
2282,527,7625.25,0.06911248811514377
2290,5195,145581.869,0.03568438869266062
4001,65341,11198.313,5.834896738464089
4003,125566,6209.863,20.220413880306214
4005,144508,18616.354,7.76242222295515
4007,53795,4757.578,11.307223969843479
4009,39232,4621.877,8.488326279561312
4011,9409,1842.838,5.1057119508063105
4012,16664,4496.579,3.7059284402653665
4013,4559748,9202.016,495.51619992836356
4015,220517,13332.117,16.540283887397628
4017,108415,9949.492,10.896536225166068
4019,1060490,9188.683,115.41262224412355
4021,469006,5366.671,87.39235179499543
4023,48926,1236.26,39.57581738469254
4025,245480,8122.932,30.220614920819234
4027,211741,5513.82,38.401870209763835
5001,16515,992.14,16.645836273106617
5003,18429,925.492,19.912651865170094
5005,42407,553.931,76.55646641910273
5007,303632,847.733,358.1693764428187
